Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,2669;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,2779;1,02511;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,2849;1,02511;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,2949;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,3009;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,3109;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,3169;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,3279;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,3349;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,3449;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,3509;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,3609;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,3669;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,3779;1,02511;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,3859;1,02511;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,3949;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,4019;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,4109;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,4179;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,4279;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,4349;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,4449;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,4519;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,4609;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,4669;1,01661;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,4779;1,02511;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,4859;1,02511;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,4959;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,5019;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,5109;1,02361;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,5179;1,02361;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,5279;1,01511;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,5349;1,01511;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,5449;1,02361;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,5519;1,02361;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,5609;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,5679;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,5779;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,5849;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,5949;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,6009;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,6119;1,02361;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,6179;1,02361;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,6279;1,01511;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,6349;1,01511;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,6449;1,02361;-1
