X;Y;Z
0.45662;0.860872;0.508502
0.313666;0.602415;0.795702
-0.546952;0.828626;-0.104272
0.105982;0.598326;0.780672
0.682708;0.746925;0.648682
0.532261;0.581716;0.811113
0.415208;0.797717;0.603007
0.842924;0.867219;0.43808
-0.0818383;0.345835;0.893406
-0.305213;0.237264;0.879198
0.608995;0.983841;0.14555
0.435632;0.721123;0.69278
-0.196121;0.932479;0.0835385
-0.776052;0.382481;-0.625894
-0.774464;0.379279;-0.628812
-0.80199;0.653169;-0.302049
0.687079;0.941851;0.301453
0.418031;0.845503;0.533957
0.411214;0.473518;0.880751
0.419077;0.681414;0.731891
0.859336;0.945823;0.211936
-0.513018;0.832877;-0.15674
0.738376;0.672048;0.718918
0.512044;0.658259;0.751169
0.55349;0.857073;0.510018
-0.380072;-0.0993866;0.884645
-0.95509;0.394809;-0.483877
-0.56978;0.826408;-0.0127321
-0.304762;0.908093;-0.0697202
0.878504;0.669165;0.697324
-0.678871;0.667207;-0.405731
0.97703;0.80084;0.510828
-0.878141;0.0737496;-0.671348
-0.745779;0.68247;-0.308657
0.387697;0.783616;0.620891
-0.528088;0.776375;-0.326137
0.123709;0.209374;0.962873
-0.581261;0.782136;-0.253017
-0.152151;0.944838;-0.0255056
0.570401;0.75205;0.653932
0.323533;0.997767;-0.0343196
-0.887351;0.55712;-0.371549
-0.243;0.925764;0.0101459
-0.655278;0.551433;-0.567635
-0.243754;0.90142;-0.210382
-0.644835;0.375585;-0.701723
0.660205;0.521351;0.842873
0.863739;0.903062;0.350351
0.489674;0.598069;0.800602
-0.097009;0.23195;0.92681
-0.717625;0.749822;-0.140227
0.33306;0.698816;0.713416
0.922737;0.914607;0.289918
-0.627132;0.691906;-0.408384
0.412105;-0.997146;0.0751545
-0.0529019;-0.962725;0.00780832
0.167788;-0.6259;0.76622
0.777485;-0.734593;0.648473
0.660467;-0.859907;0.492709
-0.807899;-0.352049;-0.623914
0.367705;-0.979667;0.198015
0.299821;-0.674921;0.734493
0.708222;-0.824632;0.542441
0.711517;-0.656556;0.736609
0.949422;-0.921914;0.248777
-0.855547;-0.644455;-0.243975
0.0541326;-0.972311;-0.102961
-0.462501;-0.00527147;-0.864732
0.114105;-0.333743;0.926119
-0.498391;-0.833629;-0.178985
-0.0299009;-0.96631;-0.00401197
0.550082;-0.964299;0.25514
0.137559;-0.417541;0.893998
-0.280574;-0.912219;-0.0920339
-0.104374;-0.954049;0.00942332
0.666039;-0.972559;0.188361
0.508701;-0.699402;0.713148
-0.782548;-0.724229;-0.0922796
0.436156;-0.819675;0.572793
0.433611;-0.37399;0.927419
0.062511;-0.968482;0.141424
-0.901963;-0.623283;-0.218166
0.568125;-0.738855;0.668961
-0.354569;-0.886988;-0.136634
-0.844335;-0.549968;-0.426074
0.271527;-0.60441;0.791937
0.0200835;-0.393656;0.890262
-0.923263;-0.108596;-0.637207
-0.111301;-0.939391;0.159621
-0.678815;-0.534902;-0.568948
0.666359;-0.927225;0.348647
-0.32076;-0.906419;0.018414
-0.775697;-0.581306;-0.447651
-0.649768;-0.366672;-0.704018
0.852018;-0.900235;0.362073
-0.82641;-0.482392;-0.515533
-0.422647;-0.855208;-0.196359
-0.363522;-0.894779;0.017065
0.12148;-0.567142;0.805531
0.231262;-0.607026;0.787098
0.395258;-0.955422;0.294769
-0.0183347;-0.48162;0.839726
-0.760132;-0.287482;-0.683781
0.792003;-0.973754;0.0927251
-0.278232;-0.897728;-0.189088
0.53582;-0.838145;0.541814
-0.476771;-0.859297;-0.0349191
-0.801193;-0.676996;-0.245287
0.519026;-0.897764;0.437234
-0.772554;-0.713955;-0.176044
-0.840375;-0.580561;-0.387515
0.958554;-0.928981;0.213807
0.820165;-0.938681;0.262283
0.426886;-0.49827;0.867021
0.400782;-0.53088;0.847338
-0.932325;-0.415423;-0.487234
-0.845571;-0.502285;-0.480321
0.875517;-0.93796;0.234819
-0.010373;-0.354034;0.902218
-0.196924;-0.101574;0.930515
-0.669647;-0.704288;-0.346781
-0.480226;-0.172942;-0.84125
-0.779051;-0.53818;-0.496072
7.64771e-05;-0.957123;0.161653
-0.298582;-0.314848;0.856295
-0.569108;-0.816042;-0.132726
-0.846902;-0.5636;-0.405301
0.861101;-0.934448;0.256541
0.828125;-0.973104;0.0307589
0.554696;-0.599363;0.797092
-0.624597;-0.777735;-0.205781
-0.857495;-0.459377;-0.512074
0.493142;-0.854315;0.518312
-0.554295;-0.819117;-0.14816
-0.675366;-0.686654;-0.375185
-0.608914;-0.505105;-0.63447
-0.621417;-0.569121;-0.570486
0.1496;-0.986064;0.0584874
0.403535;-0.798405;0.602001
0.536827;-0.510392;0.857599
0.633504;-0.952596;0.28036
0.35479;-0.616211;0.786585
-0.458981;-0.863628;0.0627133
0.829172;-0.930673;0.285403
-0.647336;-0.75348;-0.253044
0.774099;-0.654432;0.72981
-0.66002;-0.433234;-0.659778
-0.196594;-0.920019;-0.172836
0.672443;-0.921669;0.361765
-0.13777;-0.939547;0.125976
-0.635805;-0.642886;-0.475751
0.981353;-0.854324;0.413382
0.310203;-0.669525;0.739954
0.775134;-0.889595;0.411452
-0.596255;-0.816081;0.00538769
0.450182;-0.912997;0.407712
-0.813405;-0.681551;-0.210564
-0.982918;-0.392791;-0.459211
0.238701;-0.570033;0.814844
-0.00641733;0.228866;0.942367
-0.503185;-0.791437;-0.312661
-0.922569;-0.603591;-0.232602
0.79387;-0.89875;0.385491
-0.834715;-0.596294;-0.369094
0.507878;-0.979595;0.195398
0.429888;-0.823827;0.566834
-0.661883;-0.660612;-0.430458
-0.282239;-0.903852;-0.151366
-0.723946;-0.758828;-0.0378975
0.464363;-0.393499;0.919052
0.015037;-0.972661;-0.0121395
0.755154;-0.687043;0.702141
-0.901388;-0.43171;-0.500194
0.902683;-0.732254;0.625005
0.680513;-0.726705;0.671525
0.550916;-0.647146;0.759016
-0.870557;-0.398196;-0.551271
0.661103;-0.826744;0.546443
-0.800179;-0.676698;-0.247721
0.900927;-0.768425;0.58042
0.410789;-0.69486;0.719101
0.20851;-0.527149;0.840911
-0.638431;-0.766461;-0.224484
-0.542887;-0.767996;-0.331964
-0.533572;-0.775453;-0.32317
0.346764;-0.377641;0.924899
0.22834;-0.559917;0.821055
0.576822;-0.929977;0.357402
-0.796499;-0.598555;-0.404847
-0.804081;-0.395597;-0.599767
0.354851;-0.545104;0.837434
-0.712824;-0.742793;-0.183473
0.597989;-0.994896;0.0238592
-0.664814;-0.634296;-0.466184
-0.912429;-0.556922;-0.34203
-0.738995;-0.671811;-0.338788
0.541436;-0.672955;0.73673
0.562794;-0.949406;0.304179
-0.365169;-0.894343;0.0154583
-0.251757;0.263411;0.885429
0.10745;-0.509353;0.841606
0.09244;-0.0717459;0.979525
-0.4317;-0.834201;-0.262878
-0.205178;-0.915267;-0.187489
0.619333;-0.754733;0.646723
-0.615242;-0.788889;-0.176448
-0.970371;-0.503359;-0.350793
-0.0892972;-0.936948;-0.193563
-0.847013;-0.450559;-0.528034
0.364149;-0.651665;0.757731
0.178986;-0.372587;0.917511
-0.740135;-0.262299;-0.704597
0.722142;-0.884636;0.434843
0.157683;-0.619636;0.770194
-0.785242;-0.635707;-0.356109
-0.200345;-0.93522;-0.0131362
0.882834;-0.804439;0.534468
0.478763;-0.910887;0.411522
-0.36451;-0.891173;-0.0789405
-0.817586;-0.532588;-0.471037
-0.925875;-0.510306;-0.393897
-0.905647;-0.160209;-0.638181
0.590096;-0.843903;0.528272
-0.752913;-0.734287;-0.128411
0.519186;-0.719094;0.692854
-0.636222;-0.799469;-0.0144108
1;-0.783875;0.528709
0.453591;-0.6037;0.797045
0.330304;-0.604249;0.795
0.871788;-0.724464;0.641198
-0.596514;-0.657265;-0.483581
0.595226;-0.980644;0.170379
-0.750078;-0.734059;-0.137701
-0.662315;-0.418903;-0.667774
-1;-0.448062;-0.385875
0.342298;-0.961945;0.269225
-0.552525;-0.829149;-0.0807764
-0.639275;-0.795677;-0.0646411
-0.5379;-0.737491;-0.399011
-0.113175;-0.949993;0.0693011
-0.64297;-0.787813;-0.118771
-0.00496915;-0.957765;0.153365
0.144064;-0.54866;0.82081
0.567357;-0.703009;0.706587
-0.723209;-0.542559;-0.532381
0.535156;-0.634114;0.770711
0.710305;-0.928079;0.335483
-0.903993;-0.606661;-0.257516
-0.470985;-0.846069;-0.164654
0.676357;-0.869721;0.472554
-0.695645;-0.481476;-0.604988
-0.830473;-0.560308;-0.425757
0.584713;-0.738711;0.667915
0.810234;-0.797971;0.56182
-0.476146;-0.809602;-0.290716
-0.50221;-0.179375;-0.832186
0.69287;-0.820678;0.550872
-0.594229;-0.379521;-0.723398
-0.82764;-0.62807;-0.320966
-0.671918;-0.639224;-0.453956
-0.0962346;-0.944685;0.143552
-0.501703;-0.848637;0.0694646
-0.118253;-0.942774;0.12926
-0.135294;-0.357985;0.878269
-0.0402671;-0.460354;0.847816
-0.572337;-0.820623;-0.0897714
0.842131;-0.932635;0.272738
-0.958158;-0.551801;-0.28777
-0.490129;-0.839708;-0.16349
-0.568566;-0.704375;-0.433292
0.666601;-0.639982;0.7561
-0.65446;-0.387513;-0.690425
0.954842;-0.798152;0.522434
-0.856344;-0.654314;-0.214627
-0.503508;-0.849378;-0.0499452
0.406824;-0.684796;0.728664
-0.342904;-0.880718;-0.188507
0.566517;-0.934503;0.346795
0.443449;-0.757307;0.652973
-0.561298;-0.346201;-0.754082
0.361263;-0.750603;0.659776
-0.769472;-0.45996;-0.575779
0.630677;-0.535104;0.836709
-0.892785;-0.622288;-0.237931
