Time;Block;Trial;Event;Value
80832;3;21;sound;1500
81607;3;21;blink;1325
83665;3;21;percept;Down
84124;3;22;trial start;22
88133;3;23;trial start;23
88682;3;23;percept;Up
88841;3;23;sound;1500
89482;3;23;blink;1475
91508;3;23;percept;Down
92133;3;24;trial start;24
93351;3;24;sound;1000
94067;3;24;blink;976
95583;3;24;percept;Up
96040;3;25;trial start;25
21;4;1;trial start;1
1244;4;1;percept;Up
4036;4;2;trial start;2
4528;4;2;percept;Down
5253;4;2;sound;1000
5736;4;2;blink;1100
8045;4;3;trial start;3
8753;4;3;sound;1500
9286;4;3;percept;Up
9663;4;3;blink;1201
11670;4;3;percept;Down
12045;4;4;trial start;4
12886;4;4;percept;Up
16054;4;5;trial start;5
17262;4;5;sound;1000
17833;4;5;blink;975
19712;4;5;percept;Up
20046;4;6;trial start;6
20704;4;6;percept;Down
21263;4;6;sound;1000
21995;4;6;blink;850
23613;4;6;percept;Down
24055;4;7;trial start;7
24487;4;7;percept;Up
28055;4;8;trial start;8
29272;4;8;sound;1000
29933;4;8;blink;1001
32065;4;9;trial start;9
32205;4;9;percept;Down
32663;4;9;percept;Up
32772;4;9;sound;1500
33625;4;9;blink;1175
35472;4;9;percept;Up
36064;4;10;trial start;10
36788;4;10;percept;Down
40073;4;11;trial start;11
40781;4;11;percept;Up
40789;4;11;sound;1500
41479;4;11;blink;1150
43947;4;11;percept;Up
44073;4;12;trial start;12
44914;4;12;percept;Down
45290;4;12;sound;1000
45932;4;12;blink;1001
47839;4;12;percept;Down
48082;4;13;trial start;13
48548;4;13;percept;Up
52083;4;14;trial start;14
52932;4;14;percept;Down
53299;4;14;sound;1000
53981;4;14;blink;976
55807;4;14;percept;Down
56091;4;15;trial start;15
56515;4;15;percept;Up
56799;4;15;sound;1500
57659;4;15;blink;1301
59574;4;15;percept;Down
60091;4;16;trial start;16
60440;4;16;percept;Up
64100;4;17;trial start;17
64808;4;17;sound;1500
64924;4;17;percept;Up
65552;4;17;blink;1525
67858;4;17;percept;Down
68100;4;18;trial start;18
68817;4;18;sound;1500
69780;4;18;blink;1100
71458;4;18;percept;Down
72100;4;19;trial start;19
72558;4;19;percept;Up
76109;4;20;trial start;20
77008;4;20;percept;Down
77327;4;20;sound;1000
77824;4;20;blink;1076
79475;4;20;percept;Down
80126;4;21;trial start;21
80834;4;21;sound;1500
81167;4;21;percept;Up
81710;4;21;blink;1250
84126;4;22;trial start;22
84209;4;22;percept;Up
84967;4;22;percept;Down
88135;4;23;trial start;23
88844;4;23;sound;1500
88856;4;23;percept;Up
89655;4;23;blink;1302
91510;4;23;percept;Up
92136;4;24;trial start;24
92968;4;24;percept;Down
93352;4;24;sound;1000
94017;4;24;blink;926
95952;4;24;percept;Down
96034;4;25;trial start;25
21;5;1;trial start;1
820;5;1;percept;Down
4037;5;2;trial start;2
4787;5;2;percept;Down
5254;5;2;sound;1000
6015;5;2;blink;975
7887;5;2;percept;Down
8046;5;3;trial start;3
8763;5;3;sound;1500
9589;5;3;blink;1375
11804;5;3;percept;Down
12055;5;4;trial start;4
16072;5;5;trial start;5
16546;5;5;percept;Up
17280;5;5;sound;1000
17820;5;5;blink;1025
19746;5;5;percept;Down
20064;5;6;trial start;6
21281;5;6;sound;1000
22022;5;6;blink;925
23813;5;6;percept;Down
24072;5;7;trial start;7
24705;5;7;percept;Up
28073;5;8;trial start;8
28597;5;8;percept;Down
29289;5;8;sound;1000
29815;5;8;blink;1002
31656;5;8;percept;Down
32081;5;9;trial start;9
32772;5;9;percept;Up
32790;5;9;sound;1500
