Time;Block;Trial;Event;Value
16765;4;5;sound;1500
20055;4;6;trial start;6
20380;4;6;percept;Down
20773;4;6;sound;1500
24064;4;7;trial start;7
24389;4;7;percept;Up
28064;4;8;trial start;8
28347;4;8;percept;Down
28781;4;8;sound;1500
32073;4;9;trial start;9
32339;4;9;percept;Up
32782;4;9;sound;1500
36074;4;10;trial start;10
36448;4;10;percept;Down
40082;4;11;trial start;11
40390;4;11;percept;Up
40791;4;11;sound;1500
41583;4;11;blink;11
44082;4;12;trial start;12
44382;4;12;percept;Down
45300;4;12;sound;1000
47021;4;12;blink;117
48091;4;13;trial start;13
48416;4;13;percept;Up
52091;4;14;trial start;14
52408;4;14;percept;Down
53309;4;14;sound;1000
56100;4;15;trial start;15
56483;4;15;percept;Up
57309;4;15;sound;1000
60101;4;16;trial start;16
60442;4;16;percept;Down
64101;4;17;trial start;17
64501;4;17;percept;Up
65309;4;17;sound;1000
68101;4;18;trial start;18
68443;4;18;percept;Down
69318;4;18;sound;1000
72110;4;19;trial start;19
72435;4;19;percept;Up
76110;4;20;trial start;20
76410;4;20;percept;Down
77327;4;20;sound;1000
80119;4;21;trial start;21
80552;4;21;percept;Up
81328;4;21;sound;1000
84119;4;22;trial start;22
84469;4;22;percept;Down
85408;4;22;blink;181
88128;4;23;trial start;23
88478;4;23;percept;Up
88836;4;23;sound;1500
92128;4;24;trial start;24
92478;4;24;percept;Down
93345;4;24;sound;1000
96036;4;25;trial start;25
