Time;Block;Trial;Event;Value
47292;3;12;percept;Down
48076;3;13;trial start;13
49042;3;13;percept;Up
50517;3;13;percept;Down
52077;3;14;trial start;14
52784;3;14;percept;Up
53294;3;14;sound;1000
53976;3;14;blink;803
55384;3;14;percept;Down
56085;3;15;trial start;15
56876;3;15;percept;Up
57294;3;15;sound;1000
58450;3;15;blink;527
59152;3;15;percept;Down
60086;3;16;trial start;16
60744;3;16;percept;Up
64094;3;17;trial start;17
64644;3;17;percept;Down
65303;3;17;sound;1000
66116;3;17;blink;804
67277;3;17;percept;Down
68095;3;18;trial start;18
68804;3;18;sound;1500
68817;3;18;percept;Up
69568;3;18;blink;1219
71227;3;18;percept;Down
72103;3;19;trial start;19
72686;3;19;percept;Up
73726;3;19;blink;145
75561;3;19;percept;Down
76095;3;20;trial start;20
76812;3;20;sound;1500
76911;3;20;percept;Up
77559;3;20;blink;1429
79303;3;20;percept;Down
80104;3;21;trial start;21
80812;3;21;sound;1500
80878;3;21;percept;Up
82607;3;21;blink;572
83712;3;21;percept;Down
84105;3;22;trial start;22
84779;3;22;percept;Up
88113;3;23;trial start;23
88754;3;23;percept;Down
88821;3;23;sound;1500
89397;3;23;blink;1167
91304;3;23;percept;Down
92113;3;24;trial start;24
92754;3;24;percept;Up
93330;3;24;sound;1000
94089;3;24;blink;952
95304;3;24;percept;Down
96037;3;25;trial start;25
21;4;1;trial start;1
954;4;1;percept;Down
4030;4;2;trial start;2
4639;4;2;percept;Down
4747;4;2;sound;1500
5563;4;2;blink;1276
7372;4;2;percept;Down
8039;4;3;trial start;3
8748;4;3;sound;1500
8938;4;3;percept;Up
9537;4;3;blink;1351
11322;4;3;percept;Down
12040;4;4;trial start;4
16048;4;5;trial start;5
16506;4;5;percept;Up
16756;4;5;sound;1500
17452;4;5;blink;1476
19264;4;5;percept;Down
20048;4;6;trial start;6
21173;4;6;percept;Down
21265;4;6;sound;1000
22124;4;6;blink;1026
23465;4;6;percept;Down
24057;4;7;trial start;7
24681;4;7;percept;Up
28058;4;8;trial start;8
28532;4;8;percept;Down
29274;4;8;sound;1000
29920;4;8;blink;952
31224;4;8;percept;Down
32066;4;9;trial start;9
32732;4;9;percept;Up
33274;4;9;sound;1000
34073;4;9;blink;876
35265;4;9;percept;Down
36067;4;10;trial start;10
36857;4;10;percept;Down
40075;4;11;trial start;11
40733;4;11;percept;Up
41284;4;11;sound;1000
41974;4;11;blink;1126
43567;4;11;percept;Down
44076;4;12;trial start;12
44793;4;12;sound;1500
45751;4;12;blink;1277
47526;4;12;percept;Down
48085;4;13;trial start;13
48742;4;13;percept;Up
52085;4;14;trial start;14
52959;4;14;percept;Down
53302;4;14;sound;1000
53865;4;14;blink;985
55135;4;14;percept;Down
56093;4;15;trial start;15
56801;4;15;percept;Up
57302;4;15;sound;1000
58243;4;15;percept;Up
58225;4;15;blink;216
60094;4;16;trial start;16
60510;4;16;percept;Down
64103;4;17;trial start;17
65302;4;17;percept;Up
65310;4;17;sound;1000
65906;4;17;blink;1004
67327;4;17;percept;Down
68102;4;18;trial start;18
68819;4;18;sound;1500
69620;4;18;blink;1325
71511;4;18;percept;Down
72112;4;19;trial start;19
72694;4;19;percept;Up
76112;4;20;trial start;20
76795;4;20;percept;Down
76828;4;20;sound;1500
77477;4;20;blink;1410
79270;4;20;percept;Down
80120;4;21;trial start;21
80820;4;21;percept;Up
80829;4;21;sound;1500
81562;4;21;blink;1527
83670;4;21;percept;Down
84121;4;22;trial start;22
84787;4;22;percept;Up
88129;4;23;trial start;23
88838;4;23;sound;1500
88887;4;23;percept;Down
89491;4;23;blink;1553
91446;4;23;percept;Down
92130;4;24;trial start;24
93346;4;24;sound;1000
94129;4;24;percept;Down
94087;4;24;blink;1278
95721;4;24;percept;Down
96036;4;25;trial start;25
21;5;1;trial start;1
824;5;1;percept;Down
4032;5;2;trial start;2
4749;5;2;sound;1500
5521;5;2;blink;1401
7365;5;2;percept;Down
8041;5;3;trial start;3
8748;5;3;percept;Up
8757;5;3;sound;1500
9381;5;3;blink;1151
11024;5;3;percept;Down
12041;5;4;trial start;4
13041;5;4;percept;Down
15466;5;4;percept;Up
16050;5;5;trial start;5
16758;5;5;sound;1500
17327;5;5;blink;1402
19166;5;5;percept;Down
20050;5;6;trial start;6
21267;5;6;sound;1000
21985;5;6;blink;976
23458;5;6;percept;Down
24059;5;7;trial start;7
24808;5;7;percept;Up
28059;5;8;trial start;8
28492;5;8;percept;Down
29276;5;8;sound;1000
29919;5;8;blink;1051
31425;5;8;percept;Up
32026;5;8;percept;Down
32068;5;9;trial start;9
32692;5;9;percept;Up
33276;5;9;sound;1000
34086;5;9;blink;819
35126;5;9;percept;Down
36068;5;10;trial start;10
36634;5;10;percept;Up
40077;5;11;trial start;11
40351;5;11;percept;Down
40968;5;11;percept;Up
41285;5;11;sound;1000
41992;5;11;blink;925
43360;5;11;percept;Down
44069;5;12;trial start;12
44786;5;12;sound;1500
45455;5;12;blink;1452
47243;5;12;percept;Down
48078;5;13;trial start;13
48727;5;13;percept;Up
52078;5;14;trial start;14
52902;5;14;percept;Down
53295;5;14;sound;1000
53864;5;14;blink;1057
55420;5;14;percept;Up
55570;5;14;percept;Down
56087;5;15;trial start;15
56927;5;15;percept;Up
57295;5;15;sound;1000
59029;5;15;blink;335
59919;5;15;percept;Down
60087;5;16;trial start;16
60503;5;16;percept;Up
64087;5;16;percept;Down
64087;5;17;trial start;17
64845;5;17;percept;Up
65296;5;17;sound;1000
65866;5;17;blink;1005
67245;5;17;percept;Down
68088;5;18;trial start;18
68804;5;18;sound;1500
