Time;Block;Trial;Event;Value
76438;3;20;percept;Down
77330;3;20;sound;1000
77947;3;20;blink;1008
80122;3;21;trial start;21
80405;3;21;percept;Up
80830;3;21;sound;1500
81480;3;21;blink;1480
84122;3;22;trial start;22
84430;3;22;percept;Up
88131;3;23;trial start;23
88456;3;23;percept;Down
88840;3;23;sound;1500
89411;3;23;blink;1476
92132;3;24;trial start;24
92731;3;24;percept;Down
92848;3;24;sound;1500
93603;3;24;blink;1382
96038;3;25;trial start;25
21;4;1;trial start;1
4032;4;2;trial start;2
4348;4;2;percept;Up
5249;4;2;sound;1000
5915;4;2;percept;Down
5942;4;2;blink;1059
8041;4;3;trial start;3
8508;4;3;percept;Up
8750;4;3;sound;1500
9303;4;3;blink;1480
12042;4;4;trial start;4
12348;4;4;percept;Up
16049;4;5;trial start;5
16350;4;5;percept;Down
16758;4;5;sound;1500
17271;4;5;blink;1456
20050;4;6;trial start;6
20392;4;6;percept;Down
21267;4;6;sound;1000
21999;4;6;blink;932
24058;4;7;trial start;7
24458;4;7;percept;Down
28059;4;8;trial start;8
28434;4;8;percept;Up
29276;4;8;sound;1000
29894;4;8;blink;1007
32068;4;9;trial start;9
32675;4;9;percept;Down
33276;4;9;sound;1000
33791;4;9;blink;1004
36068;4;10;trial start;10
36394;4;10;percept;Down
40078;4;11;trial start;11
40393;4;11;percept;Up
40785;4;11;sound;1500
41383;4;11;blink;1478
44077;4;12;trial start;12
44303;4;12;percept;Down
45294;4;12;sound;1000
45833;4;12;blink;1032
48085;4;13;trial start;13
48479;4;13;percept;Down
52086;4;14;trial start;14
52470;4;14;percept;Up
52803;4;14;sound;1500
53253;4;14;blink;1578
56095;4;15;trial start;15
56769;4;15;percept;Up
57303;4;15;sound;1000
58066;4;15;blink;956
60095;4;16;trial start;16
60569;4;16;percept;Up
64104;4;17;trial start;17
64813;4;17;sound;1500
65204;4;17;percept;Down
65584;4;17;blink;1302
68104;4;18;trial start;18
68495;4;18;percept;Down
69321;4;18;sound;1000
70174;4;18;blink;730
72113;4;19;trial start;19
72704;4;19;percept;Down
76113;4;20;trial start;20
76454;4;20;percept;Up
77331;4;20;sound;1000
77832;4;20;blink;1056
80122;4;21;trial start;21
80389;4;21;percept;Up
80831;4;21;sound;1500
81327;4;21;blink;1528
84122;4;22;trial start;22
84430;4;22;percept;Up
88131;4;23;trial start;23
88630;4;23;percept;Down
88839;4;23;sound;1500
89326;4;23;blink;1551
92131;4;24;trial start;24
92547;4;24;percept;Up
92848;4;24;sound;1500
93371;4;24;blink;1605
96039;4;25;trial start;25
21;5;1;trial start;1
4031;5;2;trial start;2
4356;5;2;percept;Up
5248;5;2;sound;1000
6034;5;2;blink;805
8040;5;3;trial start;3
8415;5;3;percept;Up
8741;5;3;sound;1500
8886;5;3;blink;93
9540;5;3;blink;1255
12033;5;4;trial start;4
12565;5;4;percept;Up
16041;5;5;trial start;5
16749;5;5;percept;Down
16758;5;5;sound;1500
17380;5;5;blink;1432
20041;5;6;trial start;6
20432;5;6;percept;Down
21258;5;6;sound;1000
21869;5;6;blink;980
24050;5;7;trial start;7
24476;5;7;percept;Down
28050;5;8;trial start;8
28383;5;8;percept;Up
29267;5;8;sound;1000
29813;5;8;blink;981
32059;5;9;trial start;9
32284;5;9;percept;Up
33267;5;9;sound;1000
33829;5;9;blink;1033
36059;5;10;trial start;10
36392;5;10;percept;Up
40068;5;11;trial start;11
40518;5;11;percept;Down
40777;5;11;sound;1500
41256;5;11;blink;1581
44068;5;12;trial start;12
44410;5;12;percept;Up
45285;5;12;sound;1000
45798;5;12;blink;1030
48076;5;13;trial start;13
48418;5;13;percept;Up
49112;5;13;blink;756
52077;5;14;trial start;14
52627;5;14;percept;Up
52794;5;14;sound;1500
53382;5;14;blink;1303
56086;5;15;trial start;15
56611;5;15;percept;Up
57294;5;15;sound;1000
57907;5;15;blink;956
60086;5;16;trial start;16
60411;5;16;percept;Up
64095;5;17;trial start;17
64620;5;17;percept;Up
64804;5;17;sound;1500
65019;5;17;percept;Down
65514;5;17;blink;1028
68096;5;18;trial start;18
68578;5;18;percept;Up
69313;5;18;sound;1000
69914;5;18;blink;1004
72104;5;19;trial start;19
72478;5;19;percept;Up
76104;5;20;trial start;20
76571;5;20;percept;Down
77321;5;20;sound;1000
77894;5;20;blink;1032
80113;5;21;trial start;21
80438;5;21;percept;Down
80823;5;21;sound;1500
81378;5;21;blink;1582
84114;5;22;trial start;22
84671;5;22;percept;Down
88122;5;23;trial start;23
88305;5;23;percept;Up
88831;5;23;sound;1500
89401;5;23;blink;1506
92122;5;24;trial start;24
92513;5;24;percept;Up
92839;5;24;sound;1500
93319;5;24;blink;1478
96038;5;25;trial start;25
21;6;1;trial start;1
4031;6;2;trial start;2
4357;6;2;percept;Down
5249;6;2;sound;1000
